"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3066","Assert user cannot register with empty required fields","firefox","Mon Dec 01 15:16:13 UTC 2025","passed","Mon Dec 01 15:16:16 UTC 2025","Registration page tests","registration.spec.js","",""
"","13192","Assert issues are filtered correctly when user selects tracker on the ""Overview"" tab","firefox","Mon Dec 01 15:15:51 UTC 2025","failed","Mon Dec 01 15:16:04 UTC 2025","Issues page tests","issues.spec.js","",""
"","2114","Assert user cannot register with empty required fields","chromium","Mon Dec 01 15:15:15 UTC 2025","passed","Mon Dec 01 15:15:17 UTC 2025","Registration page tests","registration.spec.js","",""
"","3718","Assert user cannot register with the password shorter than 8 symbols","webkit","Mon Dec 01 15:16:42 UTC 2025","passed","Mon Dec 01 15:16:46 UTC 2025","Registration page tests","registration.spec.js","",""
"","2482","Assert columns can be added through ""Options"" menu","chromium","Mon Dec 01 15:15:10 UTC 2025","passed","Mon Dec 01 15:15:12 UTC 2025","Issues page tests","issues.spec.js","",""
"","2774","Assert issues are filtered correctly when user selects tracker on the ""Overview"" tab","chromium","Mon Dec 01 15:15:05 UTC 2025","passed","Mon Dec 01 15:15:08 UTC 2025","Issues page tests","issues.spec.js","",""
"","2927","Assert user cannot register with the password shorter than 8 symbols","firefox","Mon Dec 01 15:16:16 UTC 2025","passed","Mon Dec 01 15:16:19 UTC 2025","Registration page tests","registration.spec.js","",""
"","3939","Assert sorting by # works correctly","webkit","Mon Dec 01 15:16:34 UTC 2025","passed","Mon Dec 01 15:16:38 UTC 2025","Issues page tests","issues.spec.js","",""
"","2206","Assert user cannot register with the password shorter than 8 symbols","chromium","Mon Dec 01 15:15:17 UTC 2025","passed","Mon Dec 01 15:15:19 UTC 2025","Registration page tests","registration.spec.js","",""
"","3758","Assert columns can be added through ""Options"" menu","firefox","Mon Dec 01 15:16:06 UTC 2025","passed","Mon Dec 01 15:16:10 UTC 2025","Issues page tests","issues.spec.js","",""
"","3951","Assert user cannot register with empty required fields","webkit","Mon Dec 01 15:16:38 UTC 2025","passed","Mon Dec 01 15:16:42 UTC 2025","Registration page tests","registration.spec.js","",""
"","2959","Assert sorting by # works correctly","firefox","Mon Dec 01 15:16:10 UTC 2025","passed","Mon Dec 01 15:16:13 UTC 2025","Issues page tests","issues.spec.js","",""
"","2350","Assert sorting by # works correctly","chromium","Mon Dec 01 15:15:12 UTC 2025","passed","Mon Dec 01 15:15:15 UTC 2025","Issues page tests","issues.spec.js","",""
"","4219","Assert columns can be added through ""Options"" menu","webkit","Mon Dec 01 15:16:29 UTC 2025","passed","Mon Dec 01 15:16:34 UTC 2025","Issues page tests","issues.spec.js","",""
"","8225","Assert issues are filtered correctly when user selects tracker on the ""Overview"" tab","webkit","Mon Dec 01 15:16:20 UTC 2025","passed","Mon Dec 01 15:16:29 UTC 2025","Issues page tests","issues.spec.js","",""
